CriancaL	MulherL	HomemL	CriancaP	MulherP	HomemP
1.46481089111047158013	0.94738621898885932993	1.14187049235454463059	0.81619669163053243377	0.93609341517620570094	0.81283359012143763245
0.00000000000000000000	0.41025641025641024218	0.36842105263157892692	0.22857142857142856429	0.34285714285714286031	0.21621621621621622822
-0.22222222222222220989	-0.05128205128205128027	-0.18421052631578946346	-0.28571428571428569843	-0.17142857142857143016	-0.10810810810810811411
-0.27777777777777779011	-0.41025641025641024218	-0.26315789473684209065	-0.40000000000000002220	-0.34285714285714286031	-0.16216216216216217116
-0.38888888888888889506	-0.41025641025641024218	-0.42105263157894734505	-0.51428571428571423496	-0.40000000000000002220	-0.48648648648648651349
0.11111111111111110494	0.12820512820512819374	0.10526315789473683626	0.28571428571428569843	0.11428571428571428215	0.18918918918918919969
0.16666666666666665741	0.12820512820512819374	0.15789473684210525439	0.14285714285714284921	0.11428571428571428215	0.18918918918918919969
1.00000000000000000000	1.00000000000000000000	1.00000000000000000000	1.00000000000000000000	1.00000000000000000000	1.00000000000000000000
-1.27777777777777767909	-1.10256410256410264381	-1.07894736842105265495	-1.22857142857142864756	-1.17142857142857148567	-1.21621621621621622822
-0.44444444444444441977	-0.35897435897435897578	-0.44736842105263158187	-0.42857142857142854764	-0.45714285714285712858	-0.35135135135135137086
-0.40277777777777779011	-0.41025641025641024218	-0.39473684210526316374	-0.42857142857142854764	-0.38571428571428573173	-0.39189189189189188589
0.27777777777777779011	0.26923076923076921796	0.35526315789473683626	0.29999999999999998890	0.32857142857142856984	0.33783783783783782884
-2.61111111111111116045	-2.34615384615384625633	-2.38157894736842123962	-2.45000000000000017764	-2.42857142857142838110	-2.34459459459459473862
0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000